TimeStamp,DateTime,Open,High,Low,Close,Side,Volume,BuyVol,SellVol,Delta,Trade,BuyTrades,SellTrades,LSRatio,LongRatio,ShortRatio,OIOpen,OIHigh,OILow,OIClose,OIChange,LongLiquidation,ShortLiquidation,FROpen,FRHigh,FRLow,FRClose
1697443200,2023-10-16 12:00:00,27846.00833333333,27941.7,27806.5,27825.2,Sell,58189512.4086,27263221.5627,30926290.845900003,-3663069.283200003,14196,7146,7050,1.704402885408079,0.60805,0.39195,497807929.0,524595600.0,470850476.0,497667238.0,-140691.0,1200,0,-0.001065,0.01,-0.01213,-0.001065
1697445000,2023-10-16 12:30:00,27824.458333333332,27872.1,27796.7,27811.708333333332,Sell,27360350.9743,10645308.84,16715042.134300001,-6069733.294300001,8076,3492,4584,1.7008031353135316,0.60785,0.39215,497624388.0,524677600.0,470758712.0,497412592.0,-211796.0,34006,0,-0.001065,0.01,-0.01213,-0.001065
1697446800,2023-10-16 13:00:00,27812.191666666666,27836.8,27630.8,27695.925,Sell,134359475.6113,53867498.5945,80491977.01679999,-26624478.42229999,29555,13146,16409,1.6947031353135316,0.6073000000000001,0.3927,497386492.0,528984500.0,470141917.0,499568328.5,2181836.5,271,400,-0.001065,0.01,-0.01213,-0.001065
1697448600,2023-10-16 13:30:00,27700.441666666666,27805.1,27660.1,27771.75833333333,Buy,43285482.8463,22877642.7037,20407840.1426,2469802.5610999987,11784,6468,5316,1.7135787866281469,0.60905,0.39095,499478878.5,530658300.0,470152157.0,500645444.5,1166566.0,24547,0,-0.001065,0.01,-0.01213,-0.001065
1697450400,2023-10-16 14:00:00,27772.475000000002,27797.3,27688.0,27713.183333333334,Sell,27210870.181900002,10986733.987,16224136.194900002,-5237402.207900003,7194,2521,4673,1.719876163391934,0.6099500000000001,0.39005,500652194.5,534411500.0,469871603.0,502599380.5,1947186.0,4302,26,-0.001065,0.01,-0.01213,-0.001065
1697452200,2023-10-16 14:30:00,27715.649999999998,27804.0,27700.5,27775.50833333333,Buy,34926833.5472,20799400.0019,14127433.545300003,6671966.4565999955,10097,5645,4452,1.7097153164296022,0.60855,0.39144999999999996,502571230.5,534797700.0,469819469.0,503149402.0,578171.5,3700,0,-0.001065,0.01,-0.01213,-0.001065
1697454000,2023-10-16 15:00:00,27771.816666666666,27789.3,27733.2,27748.108333333334,Sell,16797282.4665,8357713.0122,8439569.4543,-81856.44209999964,10389,4856,5533,1.6919040362438222,0.6068,0.3932,503172302.0,540409400.0,469821867.0,505898261.5,2725959.5,18912,0,-0.001065,0.01,-0.01213,-0.001065
1697455800,2023-10-16 15:30:00,27746.833333333332,27770.7,27672.3,27750.36666666667,Buy,31417406.1937,16971762.0863,14445644.1074,2526117.9789000005,8767,4252,4515,1.68885658436214,0.6064,0.3936,505907611.5,540282600.0,473101806.0,506930296.5,1022685.0,5000,0,-0.001065,0.01,-0.01213,-0.001065
1697457600,2023-10-16 16:00:00,27752.208333333332,27850.1,27702.2,27797.075,Buy,49398562.2834,30144513.135,19254049.148399998,10890463.986600004,12521,6533,5988,1.6957949393128986,0.6070000000000001,0.39299999999999996,506887846.5,540387000.0,472665983.0,506669259.0,-218587.5,231517,0,-0.001065,0.01,-0.01213,-0.001065
1697459400,2023-10-16 16:30:00,27798.774999999998,27905.6,27768.8,27885.774999999998,Buy,62372092.5444,36255666.6057,26116425.938699998,10139240.667000003,17577,8948,8629,1.7120905419328252,0.6087,0.39130000000000004,506553109.0,540986800.0,472965362.0,507444020.5,890911.5,369649,0,-0.0001275,0.01,-0.010255,-0.0001275
